,0
https://news.naver.com/main/list.naver?mode=LPOD&mid=sec&sid1=001&sid2=140&oid=001&isYeonhapFlash=Y&aid=0013334288,'행안부 경찰국 신설안' 국무회의 통과…내달 2일 공포
https://news.naver.com/main/list.naver?mode=LPOD&mid=sec&sid1=001&sid2=140&oid=001&isYeonhapFlash=Y&aid=0013334689,"한동훈 ""사면, 대통령 고유권한…기준·방향 말하는건 부적절"""
https://news.naver.com/main/list.naver?mode=LPOD&mid=sec&sid1=001&sid2=140&oid=001&isYeonhapFlash=Y&aid=0013334556,"尹, 한동훈에 ""부정부패 엄정대응…기업위축 과도한 형벌 개선"""
https://news.naver.com/main/list.naver?mode=LPOD&mid=sec&sid1=001&sid2=140&oid=001&isYeonhapFlash=Y&aid=0013335408,"한총리 ""흥청망청 재정, 타이트한 재정으로…건전성 회복 목표"""
https://news.naver.com/main/list.naver?mode=LPOD&mid=sec&sid1=001&sid2=140&oid=001&isYeonhapFlash=Y&aid=0013334533,"국방부 ""유엔사, 판문점 통과 허용한 것…북송 승인 의미 아냐"""
https://news.naver.com/main/list.naver?mode=LPOD&mid=sec&sid1=001&sid2=140&oid=001&isYeonhapFlash=Y&aid=0013335089,"BA.5 사실상 우세종…국내감염 검출률 49.1%, 해외 합치면 56.3%"
https://news.naver.com/main/list.naver?mode=LPOD&mid=sec&sid1=001&sid2=140&oid=001&isYeonhapFlash=Y&aid=0013334570,"""금리 1%p 더 오르면 대출자 97만명, 2금융권서도 밀려나"""
https://news.naver.com/main/list.naver?mode=LPOD&mid=sec&sid1=001&sid2=140&oid=001&isYeonhapFlash=Y&aid=0013334595,한국인 기대수명 83.5세로 증가…외래진료 1년에 14.7번 간다
https://news.naver.com/main/list.naver?mode=LPOD&mid=sec&sid1=001&sid2=140&oid=001&isYeonhapFlash=Y&aid=0013334642,"용산정비창, 초고층 복합업무지구로 탈바꿈…""롯데타워급 가능"""
https://news.naver.com/main/list.naver?mode=LPOD&mid=sec&sid1=001&sid2=140&oid=001&isYeonhapFlash=Y&aid=0013335458,"대우조선 경영진 ""책임 통감…위기 극복하고 거취 포함 책임질 것"""
